geohash,estaciones_sitp_100,estaciones_sitp_200,estaciones_sitp_500,estaciones_tm_100,estaciones_tm_200,estaciones_tm_500,supermarkets_100,supermarkets_200,supermarkets_500
d2g74b0f,2,3,18,0,0,0,0,1,11
d2g6gmn6,1,2,18,0,0,0,2,2,9
d2g64nwx,1,3,10,0,0,1,0,4,13
d2g6cwbj,0,2,16,0,0,0,4,4,4
d2g75e0r,0,5,33,0,0,0,1,3,20
d2g4re6e,0,3,24,0,0,0,0,0,1
d2g71cqf,2,2,18,0,0,0,1,1,8
d2g71f3q,0,0,7,0,0,0,0,0,7
d2g61mur,0,1,17,0,0,0,0,2,10
d2g6c52z,0,2,9,0,0,0,2,2,7
d2g71f3g,0,0,9,0,0,0,0,0,7
d2g63gxu,0,0,16,0,0,2,0,1,9
d2g7564n,0,0,10,0,0,0,1,1,6
d2g6ghg7,0,3,19,0,0,0,1,1,9
d2g6duqt,2,7,26,0,0,0,3,5,16
d2g62x6p,1,5,14,0,0,0,0,0,0
d2g4pvzk,1,4,18,0,0,0,0,0,2
d2g6g56f,0,1,18,0,0,0,0,4,18
d2g6c620,1,1,30,0,0,0,1,4,40
d2g6gjx0,0,2,13,0,0,0,0,0,4
d2g6fhdz,3,3,18,0,0,0,0,0,8
d2g62nzd,1,2,18,0,0,0,0,0,2
d2g6690z,0,6,32,0,1,1,4,7,25
d2g62y3s,0,0,12,0,0,0,0,0,2
d2g69vh6,0,4,29,0,0,0,1,4,8
d2g62nzd,1,2,18,0,0,0,0,0,2
d2g33nmh,2,2,8,0,0,0,0,0,0
d2g6ddq0,0,1,14,0,0,3,0,1,14
d2g60mn1,0,1,21,0,0,1,0,1,1
d2g6fvm7,0,1,10,0,1,2,2,4,11
d2g6fxpf,2,4,20,0,0,0,0,0,6
d2g3ctfd,0,1,19,0,0,0,0,1,7
d2g6fgfe,0,6,15,0,0,1,0,2,27
d2g6925u,0,3,9,0,0,0,0,1,1
d2g4rb77,0,5,25,0,0,0,0,0,0
d2g61pg4,1,1,31,0,0,0,1,3,20
d2g4rv0x,0,3,13,0,0,0,0,0,0
d2g60mn1,0,1,21,0,0,1,0,1,1
d2g4r6ju,0,0,13,0,0,0,1,2,2
d2g4ru7t,3,4,22,0,0,0,2,2,10
d2g6fpr0,0,2,10,0,0,0,0,0,3
d2g625dh,0,3,18,0,0,0,0,0,9
d2g60v5g,0,0,19,0,0,1,0,0,2
d2g644pz,0,3,21,0,0,0,0,0,4
d2g62qqr,1,4,22,0,0,0,0,0,0
d2g4rezf,3,3,15,0,0,0,1,3,9
d2g66s8n,1,5,22,0,0,1,1,5,22
